gameid,trialNum,distractorType,context,hidden,numDistractors,colorMention,shapeMention,textureMention
1266-eda1d15d-a467-463f-8ead-dc652f77220e,3,diff_shape,far,yes,3,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,4,diff_shape,far,no,4,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,5,texture_shape,close,yes,3,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,6,diff_shape,far,yes,3,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,7,color_shape,close,no,3,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,8,texture_shape,close,no,2,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,9,color_shape,close,yes,4,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,10,shape_only,close,yes,2,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,11,diff_shape,far,yes,3,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,12,diff_shape,far,no,2,TRUE,TRUE,FALSE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,13,shape_only,close,no,2,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,14,shape_only,close,no,3,TRUE,TRUE,FALSE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,15,diff_shape,far,yes,2,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,16,diff_shape,far,no,3,TRUE,TRUE,FALSE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,17,diff_shape,far,no,2,FALSE,TRUE,FALSE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,18,shape_only,close,yes,3,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,19,diff_shape,far,yes,2,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,20,diff_shape,far,no,3,FALSE,TRUE,FALSE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,21,shape_only,close,yes,3,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,22,diff_shape,far,yes,4,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,23,texture_shape,close,no,2,TRUE,TRUE,FALSE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,24,shape_only,close,no,4,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,1,shape_only,close,yes,2,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,2,shape_only,close,no,4,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,3,shape_only,close,no,3,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,4,diff_shape,far,no,3,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,5,color_shape,close,yes,3,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,6,diff_shape,far,yes,3,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,7,diff_shape,far,no,4,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,8,diff_shape,far,yes,2,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,9,diff_shape,far,yes,4,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,10,diff_shape,far,no,3,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,11,shape_only,close,no,2,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,12,diff_shape,far,yes,3,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,13,shape_only,close,yes,3,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,14,diff_shape,far,no,3,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,15,color_shape,close,no,2,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,16,shape_only,close,yes,4,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,17,diff_shape,far,no,2,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,18,shape_only,close,no,2,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,19,shape_only,close,yes,3,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,20,shape_only,close,yes,3,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,21,diff_shape,far,no,2,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,22,diff_shape,far,yes,3,TRUE,TRUE,TRUE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,23,shape_only,close,no,2,TRUE,TRUE,FALSE
1390-1099952c-7333-49c7-9fe0-64973c521a8a,24,diff_shape,far,yes,2,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,1,color_shape,close,no,2,FALSE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,2,diff_shape,far,no,3,FALSE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,3,diff_shape,far,yes,2,FALSE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,4,color_shape,close,yes,3,FALSE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,5,color_shape,close,yes,2,FALSE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,6,shape_only,close,no,2,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,7,diff_shape,far,no,3,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,8,diff_shape,far,yes,4,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,9,diff_shape,far,yes,3,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,10,shape_only,close,yes,4,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,11,diff_shape,far,yes,4,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,12,shape_only,close,no,4,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,13,diff_shape,far,no,3,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,14,diff_shape,far,no,2,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,15,texture_shape,close,yes,3,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,16,texture_shape,close,no,2,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,17,color_shape,close,no,3,TRUE,TRUE,TRUE
1444-5bb7301c-6c65-4129-be45-330e04efc26b,18,diff_shape,far,no,2,TRUE,TRUE,TRUE
